microbe_level,diet_type,id,compound,nat_lab,ion,ret_time,type_delete.this,width,area,start_time,end_time,,ratio,standard_mass,total_natural_compound_ng,sample_wt_g,sample_stdev_g,conc_sample_ngperg,lower_stdev_sample_mass,upper_stdev_sample_mass,low_conc_stdev,high_conc_stdev,num_sal_glands,avg_ratio_blanks,stdev_ratio_blanks,ratio_minus_blanks,adjusted_total_natural_compound,adjusted_conc_sample_ngperg,lower_blank_stdev,upper_blank_stdev,adjusted_low_stdev,adjusted_high_stdev,,,,,,
nonaxenic,benzoic,NB2,BA,nat,137,6.886,M,0.032,48995712,6.854,7.06,,1.837540181,200,367.5080362,0.1237,0.0309,2970.962297,0.0928,0.1546,3960.215907,2377.15418,41,0.119085094,0.099778182,1.718455087,343.6910174,2778.423746,0.019306912,0.218863276,3918.606183,2094.019283,,,,,,
nonaxenic,benzoic,NB2,BA,lab,143,6.887,M,0.031,26663750,6.854,7.013,,,200,,0.1237,0.0309,0,0.0928,0.1546,0,0,41,0.119085094,0.099778182,-0.119085094,-23.81701878,-192.5385512,0.019306912,0.218863276,-41.60972464,-283.1348972,,,,,,
nonaxenic,control,NC1,BA,nat,137,6.887,M,0.03,498036,6.865,6.946,,0.115815242,200,23.1630484,0.13,0.0309,178.1772954,0.0991,0.1609,233.7340908,143.9592815,40,0.119085094,0.099778182,-0.003269852,-0.653970378,-5.030541368,0.019306912,0.218863276,194.7695858,-128.0895383,,,,,,
nonaxenic,control,NC1,BA,lab,143,6.888,M,0.034,4300263,6.854,6.985,,,200,,0.13,0.0309,0,0.0991,0.1609,0,0,40,0.119085094,0.099778182,-0.119085094,-23.81701878,-183.2078367,0.019306912,0.218863276,-38.96450501,-272.0488198,,,,,,
nonaxenic,control,NC2,BA,nat,137,6.888,M,0.041,540015,6.854,7.026,,0.202671055,200,40.53421105,0.1379,0.0309,293.9391664,0.1070,0.1688,378.8244023,240.131582,36,0.119085094,0.099778182,0.083585961,16.71719227,121.22692,0.019306912,0.218863276,342.7367159,-19.18509513,,,,,,
nonaxenic,control,NC2,BA,lab,143,6.889,M,0.041,2664490,6.846,6.983,,,200,,0.1379,0.0309,0,0.1070,0.1688,0,0,36,0.119085094,0.099778182,-0.119085094,-23.81701878,-172.7122464,0.019306912,0.218863276,-36.08768642,-259.3166772,,,,,,
blank,blank,B1,BA,nat,137,6.887,M,0.041,192056,6.855,6.971,,0.071923193,200,14.38463869,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.119085094,0.099778182,-0.0471619,-9.432380088,#DIV/0!,0.019306912,0.218863276,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B1,BA,lab,143,6.887,M,0.041,2670293,6.845,6.993,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.119085094,0.099778182,-0.119085094,-23.81701878,#DIV/0!,0.019306912,0.218863276,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B2,BA,nat,137,6.887,M,0.038,1864882,6.854,6.96,,0.082135547,200,16.42710932,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.119085094,0.099778182,-0.036949547,-7.38990946,#DIV/0!,0.019306912,0.218863276,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B2,BA,lab,143,6.887,M,0.039,22704932,6.843,6.989,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.119085094,0.099778182,-0.119085094,-23.81701878,#DIV/0!,0.019306912,0.218863276,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B3,BA,nat,137,6.886,M,0.032,2528104,6.857,6.943,,0.083919498,200,16.78389962,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.119085094,0.099778182,-0.035165596,-7.03311916,#DIV/0!,0.019306912,0.218863276,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B3,BA,lab,143,6.887,M,0.034,30125347,6.854,6.987,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.119085094,0.099778182,-0.119085094,-23.81701878,#DIV/0!,0.019306912,0.218863276,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B4,BA,nat,137,6.884,M,0.03,5318162,6.854,6.936,,0.322571277,200,64.51425539,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.119085094,0.099778182,0.203486183,40.69723661,#DIV/0!,0.019306912,0.218863276,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B4,BA,lab,143,6.884,M,0.03,16486781,6.854,6.946,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.119085094,0.099778182,-0.119085094,-23.81701878,#DIV/0!,0.019306912,0.218863276,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B5,BA,nat,137,6.885,M,0.031,472560,6.855,6.943,,0.077178459,200,15.4356918,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.119085094,0.099778182,-0.041906635,-8.381326974,#DIV/0!,0.019306912,0.218863276,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B5,BA,lab,143,6.886,M,0.034,6122952,6.847,6.985,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.119085094,0.099778182,-0.119085094,-23.81701878,#DIV/0!,0.019306912,0.218863276,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B6,BA,nat,137,6.886,M,0.03,945814,6.856,6.932,,0.076782589,200,15.35651785,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.119085094,0.099778182,-0.042302505,-8.460500931,#DIV/0!,0.019306912,0.218863276,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B6,BA,lab,143,6.886,M,0.033,12318079,6.846,6.958,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.119085094,0.099778182,-0.119085094,-23.81701878,#DIV/0!,0.019306912,0.218863276,#DIV/0!,#DIV/0!,,,,,,
axenic,benzoic,AB1,SA,nat ,153,7.942,M,0.045,75907,7.901,8.025,,0.0513251,200,10.26502,0.127,0.0309,80.82692911,0.0961,0.1579,106.8160249,65.00962633,42,0.002851148,0.000664145,0.048473952,9.694790381,76.33693213,0.002187003,0.003515293,102.2645092,60.5570705,,,,,,
axenic,benzoic,AB1,SA,lab,157,7.928,M,0.045,1478945,7.87,8.041,,,200,,0.127,0.0309,0,0.0961,0.1579,0,0,42,0.002851148,0.000664145,-0.002851148,-0.570229617,-4.48999698,0.002187003,0.003515293,-4.551515796,-4.452555826,,,,,,
axenic,benzoic,AB2,SA,nat,153,7.939,M,0.04,90075,7.9,7.995,,0.025031214,200,5.006242867,0.1078,0.0309,46.44010081,0.0769,0.1387,65.10068748,36.09403653,40,0.002851148,0.000664145,0.022180066,4.43601325,41.15040121,0.002187003,0.003515293,59.41277242,31.02512114,,,,,,
axenic,benzoic,AB2,SA,lab,157,7.922,M,0.045,3598507,7.874,8.052,,,200,,0.1078,0.0309,0,0.0769,0.1387,0,0,40,0.002851148,0.000664145,-0.002851148,-0.570229617,-5.289699596,0.002187003,0.003515293,-5.687915059,-5.068915393,,,,,,
axenic,control,AC1,SA,nat,153,7.929,M,0.027,69738,7.896,7.956,,0.016860281,200,3.372056196,0.1165,0.0309,28.94468838,0.0856,0.1474,39.39317986,22.87690771,38,0.002851148,0.000664145,0.014009133,2.80182658,24.05001356,0.002187003,0.003515293,34.28335897,18.10717525,,,,,,
axenic,control,AC1,SA,lab,157,7.915,M,0.032,4136230,7.874,7.997,,,200,,0.1165,0.0309,0,0.0856,0.1474,0,0,38,0.002851148,0.000664145,-0.002851148,-0.570229617,-4.89467482,0.002187003,0.003515293,-5.109820888,-4.769732463,,,,,,
axenic,control,AC2,SA,nat,153,7.943,M,0.043,64391,7.9,7.989,,0.022164966,200,4.432993239,0.1053,0.0309,42.09870123,0.0744,0.1362,59.58324247,32.5476743,43,0.002851148,0.000664145,0.019313818,3.862763623,36.68341522,0.002187003,0.003515293,53.70420123,27.38571714,,,,,,
axenic,control,AC2,SA,lab,157,7.927,M,0.044,2905080,7.874,8.028,,,200,,0.1053,0.0309,0,0.0744,0.1362,0,0,43,0.002851148,0.000664145,-0.002851148,-0.570229617,-5.415286007,0.002187003,0.003515293,-5.879041237,-5.161957158,,,,,,
nonaxenic,benzoic,NB1,SA,nat,153,7.934,M,0.035,543812,7.898,7.975,,0.027109887,200,5.421977418,0.1231,0.0309,44.04530802,0.0922,0.1540,58.8066965,35.20764557,38,0.002851148,0.000664145,0.024258739,4.851747801,39.41306094,0.002187003,0.003515293,54.06265455,30.64233021,,,,,,
nonaxenic,benzoic,NB1,SA,lab,157,7.919,M,0.04,20059545,7.874,8.09,,,200,,0.1231,0.0309,0,0.0922,0.1540,0,0,38,0.002851148,0.000664145,-0.002851148,-0.570229617,-4.632247088,0.002187003,0.003515293,-4.744041953,-4.565315357,,,,,,
nonaxenic,benzoic,NB2,SA,nat,153,7.938,M,0.036,199763,7.904,7.977,,0.028494467,200,5.698893488,0.1237,0.0309,46.0702788,0.0928,0.1546,61.41049017,36.86218298,41,0.002851148,0.000664145,0.025643319,5.128663872,41.46050017,0.002187003,0.003515293,56.69712091,32.31458553,,,,,,
nonaxenic,benzoic,NB2,SA,lab,157,7.92,M,0.037,7010589,7.875,7.99,,,200,,0.1237,0.0309,0,0.0928,0.1546,0,0,41,0.002851148,0.000664145,-0.002851148,-0.570229617,-4.60977863,0.002187003,0.003515293,-4.713369267,-4.547597445,,,,,,
nonaxenic,control,NC1,SA,nat,153,7.945,M,0.044,37384,7.907,8.004,,0.032338233,200,6.467646629,0.13,0.0309,49.75112791,0.0991,0.1609,65.26384086,40.19668508,40,0.002851148,0.000664145,0.029487085,5.897417012,45.36474625,0.002187003,0.003515293,60.8501106,35.82714769,,,,,,
nonaxenic,control,NC1,SA,lab,157,7.93,M,0.048,1156031,7.875,8.029,,,200,,0.13,0.0309,0,0.0991,0.1609,0,0,40,0.002851148,0.000664145,-0.002851148,-0.570229617,-4.386381665,0.002187003,0.003515293,-4.413730252,-4.369537383,,,,,,
nonaxenic,control,NC2,SA,nat,153,7.961,M,0.064,127658,7.898,8.013,,0.025693764,200,5.138752724,0.1379,0.0309,37.26434173,0.1070,0.1688,48.02572639,30.44284789,36,0.002851148,0.000664145,0.022842616,4.568523107,33.12924661,0.002187003,0.003515293,43.93786968,26.277809,,,,,,
nonaxenic,control,NC2,SA,lab,157,7.946,M,0.086,4968443,7.877,8.205,,,200,,0.1379,0.0309,0,0.1070,0.1688,0,0,36,0.002851148,0.000664145,-0.002851148,-0.570229617,-4.135095116,0.002187003,0.003515293,-4.08785671,-4.165038892,,,,,,
blank,blank,B1,SA,nat,153,7.955,M,0.049,29032,7.918,7.985,,0.002034169,200,0.406833748,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002851148,0.000664145,-0.000816979,-0.163395869,#DIV/0!,0.002187003,0.003515293,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B1,SA,lab,157,7.937,M,0.07,14272169,7.884,8.184,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002851148,0.000664145,-0.002851148,-0.570229617,#DIV/0!,0.002187003,0.003515293,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B2,SA,nat,153,7.948,M,0.045,49220,7.91,7.994,,0.003883048,200,0.776609506,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002851148,0.000664145,0.001031899,0.20637989,#DIV/0!,0.002187003,0.003515293,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B2,SA,lab,157,7.93,M,0.051,12675611,7.873,8.041,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002851148,0.000664145,-0.002851148,-0.570229617,#DIV/0!,0.002187003,0.003515293,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B3,SA,nat,153,7.938,M,0.036,51075,7.91,7.963,,0.002261094,200,0.452218721,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002851148,0.000664145,-0.000590054,-0.118010896,#DIV/0!,0.002187003,0.003515293,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B3,SA,lab,157,7.926,M,0.049,22588627,7.884,8.041,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002851148,0.000664145,-0.002851148,-0.570229617,#DIV/0!,0.002187003,0.003515293,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B4,SA,nat,153,8.02,M,0.07,70859,7.91,8.036,,0.003058704,200,0.61174071,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002851148,0.000664145,0.000207555,0.041511093,#DIV/0!,0.002187003,0.003515293,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B4,SA,lab,157,7.919,M,0.047,23166351,7.874,7.998,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002851148,0.000664145,-0.002851148,-0.570229617,#DIV/0!,0.002187003,0.003515293,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B5,SA,nat,153,7.936,M,0.047,43261,7.9,7.997,,0.002750703,200,0.550140644,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002851148,0.000664145,-0.000100445,-0.020088972,#DIV/0!,0.002187003,0.003515293,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B5,SA,lab,157,7.923,M,0.05,15727251,7.871,8.056,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002851148,0.000664145,-0.002851148,-0.570229617,#DIV/0!,0.002187003,0.003515293,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B6,SA,nat,153,7.936,M,0.037,53009,7.911,7.973,,0.003119172,200,0.623834371,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002851148,0.000664145,0.000268024,0.053604754,#DIV/0!,0.002187003,0.003515293,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B6,SA,lab,157,7.926,M,0.051,16994575,7.872,8.091,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002851148,0.000664145,-0.002851148,-0.570229617,#DIV/0!,0.002187003,0.003515293,#DIV/0!,#DIV/0!,,,,,,
axenic,benzoic,AB1,IAA,nat ,190,12.956,M,0.038,16238,12.922,12.983,,0.003172208,200,0.634441607,0.127,0.0309,4.995603205,0.0961,0.1579,6.601889771,4.017996244,42,0.002596505,0.001586694,0.000575703,0.115140523,0.906618295,0.001009811,0.0041832,4.500306129,-1.280547005,,,,,,
axenic,benzoic,AB1,IAA,lab,195,12.94,M,0.075,5118832,12.899,13.094,,,200,,0.127,0.0309,0,0.0961,0.1579,0,0,42,0.002596505,0.001586694,-0.002596505,-0.519301084,-4.08898491,0.001009811,0.0041832,-2.101583642,-5.298543249,,,,,,
axenic,benzoic,AB2,IAA,nat,190,12.955,M,0.057,43179,12.918,12.994,,0.006940833,200,1.38816665,0.1078,0.0309,12.87724165,0.0769,0.1387,18.05158193,10.00841132,40,0.002596505,0.001586694,0.004344328,0.868865567,8.059977426,0.001009811,0.0041832,15.42528559,3.976399935,,,,,,
axenic,benzoic,AB2,IAA,lab,195,12.939,M,0.068,6221011,12.9,13.082,,,200,,0.1078,0.0309,0,0.0769,0.1387,0,0,40,0.002596505,0.001586694,-0.002596505,-0.519301084,-4.817264226,0.001009811,0.0041832,-2.626296333,-6.032011385,,,,,,
axenic,control,AC1,IAA,nat,190,12.937,M,0.028,15871,12.913,12.976,,0.002889396,200,0.577879251,0.1165,0.0309,4.96033692,0.0856,0.1474,6.750925832,3.920483387,38,0.002596505,0.001586694,0.000292891,0.058578168,0.50281689,0.001009811,0.0041832,4.391554477,-1.755500189,,,,,,
axenic,control,AC1,IAA,lab,195,12.934,M,0.043,5492843,12.895,13.012,,,200,,0.1165,0.0309,0,0.0856,0.1474,0,0,38,0.002596505,0.001586694,-0.002596505,-0.519301084,-4.45752003,0.001009811,0.0041832,-2.359371355,-5.675983576,,,,,,
axenic,control,AC2,IAA,nat,190,12.963,M,0.057,8213,12.917,13.037,,0.005096567,200,1.019313338,0.1053,0.0309,9.68008868,0.0744,0.1362,13.70044809,7.483945213,43,0.002596505,0.001586694,0.002500061,0.500012254,4.748454459,0.001009811,0.0041832,10.98590255,1.341214089,,,,,,
axenic,control,AC2,IAA,lab,195,12.942,M,0.075,1611477,12.899,13.082,,,200,,0.1053,0.0309,0,0.0744,0.1362,0,0,43,0.002596505,0.001586694,-0.002596505,-0.519301084,-4.931634221,0.001009811,0.0041832,-2.714545537,-6.142731124,,,,,,
nonaxenic,benzoic,NB1,IAA,nat,190,12.947,M,0.051,75213,12.897,13.003,,0.0055422,200,1.108439967,0.1231,0.0309,9.004386411,0.0922,0.1540,12.02212546,7.197662125,38,0.002596505,0.001586694,0.002945694,0.589138884,4.785856082,0.001009811,0.0041832,9.831646196,1.764934988,,,,,,
nonaxenic,benzoic,NB1,IAA,lab,195,12.931,M,0.066,13570965,12.89,13.08,,,200,,0.1231,0.0309,0,0.0922,0.1540,0,0,38,0.002596505,0.001586694,-0.002596505,-0.519301084,-4.218530329,0.001009811,0.0041832,-2.190479262,-5.432727137,,,,,,
nonaxenic,benzoic,NB2,IAA,nat,190,12.944,M,0.079,77340,12.918,13.04,,0.010170318,200,2.034063596,0.1237,0.0309,16.44352139,0.0928,0.1546,21.91878875,13.15694434,41,0.002596505,0.001586694,0.007573813,1.514762512,12.24545281,0.001009811,0.0041832,19.74247207,7.74530153,,,,,,
nonaxenic,benzoic,NB2,IAA,lab,195,12.937,M,0.089,7604482,12.899,13.129,,,200,,0.1237,0.0309,0,0.0928,0.1546,0,0,41,0.002596505,0.001586694,-0.002596505,-0.519301084,-4.198068581,0.001009811,0.0041832,-2.176316681,-5.411642814,,,,,,
nonaxenic,control,NC1,IAA,nat,190,12.97,M,0.035,9271,12.945,12.985,,0.002389527,200,0.477905443,0.13,0.0309,3.676195717,0.0991,0.1609,4.822456541,2.970201636,40,0.002596505,0.001586694,-0.000206978,-0.04139564,-0.318428003,0.001009811,0.0041832,2.784492989,-2.229549633,,,,,,
nonaxenic,control,NC1,IAA,lab,195,12.958,M,0.097,3879847,12.91,13.091,,,200,,0.13,0.0309,0,0.0991,0.1609,0,0,40,0.002596505,0.001586694,-0.002596505,-0.519301084,-3.994623719,0.001009811,0.0041832,-2.037963552,-5.199751268,,,,,,
nonaxenic,control,NC2,IAA,nat,190,12.992,M,0.019,4638,12.965,12.998,,0.002668161,200,0.533632173,0.1379,0.0309,3.869703941,0.1070,0.1688,4.987216575,3.161328042,36,0.002596505,0.001586694,7.16554E-05,0.01433109,0.103923785,0.001009811,0.0041832,3.099719491,-1.795069938,,,,,,
nonaxenic,control,NC2,IAA,lab,195,12.985,M,0.117,1738276,12.932,13.121,,,200,,0.1379,0.0309,0,0.1070,0.1688,0,0,36,0.002596505,0.001586694,-0.002596505,-0.519301084,-3.765780156,0.001009811,0.0041832,-1.887497084,-4.95639798,,,,,,
blank,blank,B1,IAA,nat,190,12.977,M,0.012,1892,12.967,12.985,,0.00088851,200,0.177701972,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002596505,0.001586694,-0.001707996,-0.341599112,#DIV/0!,0.001009811,0.0041832,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B1,IAA,lab,195,12.983,M,0.104,2129408,12.933,13.105,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002596505,0.001586694,-0.002596505,-0.519301084,#DIV/0!,0.001009811,0.0041832,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B2,IAA,nat,190,12.977,M,0.034,5942,12.952,13.012,,0.002524853,200,0.504970672,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002596505,0.001586694,-7.16521E-05,-0.014330411,#DIV/0!,0.001009811,0.0041832,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B2,IAA,lab,195,12.963,M,0.08,2353404,12.913,13.064,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002596505,0.001586694,-0.002596505,-0.519301084,#DIV/0!,0.001009811,0.0041832,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B3,IAA,nat,190,12.959,M,0.047,18457,12.927,13.018,,0.002176944,200,0.435388804,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002596505,0.001586694,-0.000419561,-0.08391228,#DIV/0!,0.001009811,0.0041832,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B3,IAA,lab,195,12.948,M,0.083,8478399,12.905,13.057,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002596505,0.001586694,-0.002596505,-0.519301084,#DIV/0!,0.001009811,0.0041832,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B4,IAA,nat,190,12.942,M,0.025,12111,12.932,12.967,,0.001740155,200,0.348030993,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002596505,0.001586694,-0.00085635,-0.171270091,#DIV/0!,0.001009811,0.0041832,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B4,IAA,lab,195,12.937,M,0.062,6959725,12.897,13.039,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002596505,0.001586694,-0.002596505,-0.519301084,#DIV/0!,0.001009811,0.0041832,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B5,IAA,nat,190,12.956,M,0.017,1970,12.939,12.988,,0.002694596,200,0.538919125,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002596505,0.001586694,9.80902E-05,0.019618042,#DIV/0!,0.001009811,0.0041832,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B5,IAA,lab,195,12.948,M,0.028,731093,12.921,12.956,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002596505,0.001586694,-0.002596505,-0.519301084,#DIV/0!,0.001009811,0.0041832,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B6,IAA,nat,190,12.995,M,0.049,9271,12.953,13.017,,0.005553975,200,1.110794935,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002596505,0.001586694,0.002957469,0.591493852,#DIV/0!,0.001009811,0.0041832,#DIV/0!,#DIV/0!,,,,,,
blank,blank,B6,IAA,lab,195,12.965,M,0.069,1669255,12.928,13.026,,,200,,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0.002596505,0.001586694,-0.002596505,-0.519301084,#DIV/0!,0.001009811,0.0041832,#DIV/0!,#DIV/0!,,,,,,
axenic,benzoic,AB1,trans_JA,nat ,225,11.821,M,0.021,48404,11.804,11.86,,0.003340851,200,0.668170155,0.127,0.0309,5.261182326,0.0961,0.1579,6.952863219,4.231603264,42,0.004390614,0.001505738,-0.001049764,-0.209952726,-1.65317107,0.002884877,0.005896352,0.948957886,-3.236860701,,,,,,
axenic,benzoic,AB1,trans_JA,lab,227,11.822,M,0.028,14488525,11.788,11.874,,,200,,0.127,0.0309,0,0.0961,0.1579,0,0,42,0.004390614,0.001505738,-0.004390614,-0.878122881,-6.914353396,0.002884877,0.005896352,-6.003905333,-7.468463965,,,,,,
axenic,benzoic,AB2,trans_JA,nat,225,11.82,M,0.026,91141,11.801,11.847,,0.005014921,200,1.002984104,0.1078,0.0309,9.304119699,0.0769,0.1387,13.04270616,7.231320141,40,0.004390614,0.001505738,0.000624306,0.124861222,1.158267368,0.002884877,0.005896352,5.539776347,-1.270990313,,,,,,
axenic,benzoic,AB2,trans_JA,lab,227,11.821,M,0.027,18173967,11.787,11.879,,,200,,0.1078,0.0309,0,0.0769,0.1387,0,0,40,0.004390614,0.001505738,-0.004390614,-0.878122881,-8.145852331,0.002884877,0.005896352,-7.502929812,-8.502310455,,,,,,
axenic,control,AC1,trans_JA,nat,225,11.821,M,0.03,218338,11.8,11.848,,0.006435498,200,1.287099506,0.1165,0.0309,11.04806443,0.0856,0.1474,15.03620919,8.732018361,38,0.004390614,0.001505738,0.002044883,0.408976625,3.510528971,0.002884877,0.005896352,8.295843503,0.731540342,,,,,,
